Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773770929,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773770930,2,GET,/health,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,27.689459006069228,27.689459006069228,27.689459006069228,27.689459006069228,341.0
1773770930,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,27.689459006069228,27.689459006069228,27.689459006069228,27.689459006069228,341.0
1773770931,4,GET,/health,0.000000,0.000000,17,17,17,17,17,17,17,17,17,17,17,2,0,17.38454199221451,22.537000499141868,17.38454199221451,27.689459006069228,341.0
1773770931,4,,Aggregated,0.000000,0.000000,17,17,17,17,17,17,17,17,17,17,17,2,0,17.38454199221451,22.537000499141868,17.38454199221451,27.689459006069228,341.0
1773770932,6,GET,/health,0.000000,0.000000,51,51,51,51,51,51,51,51,51,51,51,3,0,28,32.092291997590415,17.38454199221451,51.2028749944875,341.0
1773770932,6,,Aggregated,0.000000,0.000000,51,51,51,51,51,51,51,51,51,51,51,3,0,28,32.092291997590415,17.38454199221451,51.2028749944875,341.0
1773770933,8,GET,/health,1.000000,0.000000,51,51,51,51,51,51,51,51,51,51,51,3,0,28,32.092291997590415,17.38454199221451,51.2028749944875,341.0
1773770933,8,POST,/infer [long],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,3972.034042002633,3972.034042002633,3972.034042002633,3972.034042002633,989.0
1773770933,8,,Aggregated,1.000000,0.000000,51,51,4000,4000,4000,4000,4000,4000,4000,4000,4000,4,0,28,1017.0777294988511,17.38454199221451,3972.034042002633,503.0
1773770934,10,GET,/health,1.000000,0.000000,51,51,51,51,51,51,51,51,51,51,51,3,0,28,32.092291997590415,17.38454199221451,51.2028749944875,341.0
